"id","category","self_mean","peer_mean","peer_low","peer_high","obs_mean","obs_low","obs_high","obs_p_one_sided","std_mean","std_low","std_high","std_p_one_sided","cp_raise_mean","cp_raise_low","cp_raise_high","sp_cp_support_mean","sp_cp_support_low","sp_cp_support_high","ct_cp_support_mean","ct_cp_support_low","ct_cp_support_high","spctp_cp_support_mean","spctp_cp_support_low","spctp_cp_support_high"
"FTF24","Strategic Group Interactions",0.4,0.28,0.183980002082899,0.376019997917101,0.0837649457758785,-0.105716285429448,0.273246176981205,0.194542340558839,-0.216166381779441,-0.436740121110288,0.00440735755140598,0.970662957361789,-0.130620692580802,-0.348500269841388,0.0872588846797841,-0.204527137580155,-0.427342536746057,0.0182882615857469,-0.0341385772947325,-0.265289262872825,0.19701210828336,-0.153228933241577,-0.369314233781703,0.0628563672985493
"GPT31","Information Treatment",0.5,0.168,0.0155953829804068,0.320404617019593,0.106260670660545,-0.102652321669278,0.315173662990368,0.159742482414838,-0.105844506922117,-0.314772517098563,0.103083503254329,0.839291996950764,-0.122261122730691,-0.331198644954456,0.0866763994930739,0.0601823510012863,-0.148732941761168,0.269097643763741,-0.0144641193943528,-0.223399886792711,0.194471648004005,-0.0841695712731236,-0.293124818605108,0.124785676058861
"HCB35","Information Treatment",0.2,0.265,0.170266666666667,0.359733333333333,0.0979744226322328,-0.111260574863199,0.307209420127664,0.179684411124795,0.0878223874259241,-0.121397012915267,0.297041787767116,0.205608975368755,0.135373763581497,-0.0738657812858126,0.344613308448807,-0.0479734313359615,-0.257233457536303,0.16128659486438,0.0337546907770801,-0.175509839525807,0.243019221079967,-0.0885006281820272,-0.297698303028247,0.120697046664193
"HIV17","Information Treatment",0.4,0.15,0.0564569023865945,0.243543097613406,0.207710314628365,0.000685128460997053,0.414735500795733,0.02500730667434,0.0915106753194463,-0.115695570408669,0.298716921047562,0.193640396665665,0.0665786987561817,-0.140629092977996,0.273786490490359,0.0654142817692667,-0.141750412793664,0.272578976332197,0.0689779320647761,-0.138234765161639,0.276190629291191,0.0606165238891879,-0.146674887266154,0.26790793504453
"HTA17","Information Treatment",0.2,0.31,0.198933333333333,0.421066666666667,0.198307132171324,-0.0067118855249968,0.403326149867645,0.0293858305111016,0.0161581930299541,-0.189296882231845,0.221613268291754,0.438789943993039,-0.0469336147373864,-0.2523024264919,0.158435197017128,-0.111129275889944,-0.316378379990733,0.0941198282108453,-0.0617666805922062,-0.267082084754786,0.143548723570374,-0.0438191464492584,-0.249254398604215,0.161616105705698
"IGA07","Strategic Group Interactions",0.3,0.233333333333333,0.0986452162298231,0.368021450436844,-0.125146138018736,-0.319603047848,0.0693107718105277,0.894727073813518,-0.0119732071084863,-0.227072649730269,0.203126235513296,0.543312796815363,-0.0784398931795029,-0.311969238970034,0.155089452611028,-0.0643601780204632,-0.286146106616512,0.157425750575585,-0.106205055180698,-0.32762548837548,0.115215378014084,-0.0759643556011591,-0.296285978933147,0.144357267730828
"IGA76","Behavioral Biases/Reflective Thinking",1.38,0.183,0.0927051732748031,0.273294826725197,0.0578099282400627,-0.151431765748247,0.267051622228372,0.294248197510185,0.0980075064952269,-0.111181535367784,0.307196548358238,0.179550682630775,0.0275613832207589,-0.181589764866935,0.236712531308453,-0.00641174184696517,-0.215558309724357,0.202734826030427,-0.0630216220924071,-0.272106358842327,0.146063114657513,-0.0483218074626232,-0.25738995463501,0.160746339709764
"IHG79","Information Treatment",0.36446,0.335,0.244884987068993,0.425115012931007,-0.0600539940771768,-0.269788893003704,0.14968090484935,0.712493547840851,0.0347273038674817,-0.17507982929386,0.244534437028823,0.3729074245915,-0.0226804530742249,-0.232504386843342,0.187143480694892,-0.0394536469322009,-0.249389361387156,0.170482067522754,0.145971142629648,-0.063829301679411,0.355771586938707,0.0493521716108822,-0.160811047917314,0.259515391139078
"IIW02","Behavioral Biases/Reflective Thinking",0.5,0.227777777777778,0.133792094602225,0.32176346095333,0.00480241852383341,-0.204445212274243,0.21405004932191,0.482072926398815,-0.0193757334997282,-0.228648222633397,0.189896755633941,0.57194783592875,-0.0131885298945349,-0.222424166772644,0.196047106983574,-0.0407478659086842,-0.249990742766229,0.168495010948861,-0.116859306630227,-0.326102108202886,0.0923834949424321,-0.177567953972483,-0.386818316007384,0.0316824080624183
"INA32","Information Treatment",0.2,0.197,0.0947768184586077,0.299223181541392,0.106878889988698,-0.101762673575325,0.315520453552721,0.158025674089651,-0.0353293511532916,-0.243946558708887,0.173287856402304,0.629929031960523,-0.00995487376353114,-0.218616348349274,0.198706600822212,-0.0601726249877814,-0.268808283648981,0.148463033673418,0.00271989311353433,-0.205953258188957,0.211393044416025,-0.0116126430867141,-0.220246413570261,0.197021127396833
